Publisher,PublicationType,PublicationTypeFHNW,Version,EmbargoAmount,EmbargoUnit,License,URL,Comments,Last Check
Brill | Nijhoff,Buchbeitrag,04A - Beitrag Sammelband,Accepted,0,Months,,https://brill.com/page/selfarchiving/sharing-your-work-selfarchiving,,02.08.2024
Brill | Nijhoff eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,0,Months,,https://brill.com/page/selfarchiving/sharing-your-work-selfarchiving,,18.06.2025
Brill | Fink,Buchbeitrag,04A - Beitrag Sammelband,Accepted,0,Months,,https://brill.com/page/selfarchiving/sharing-your-work-selfarchiving,,02.08.2024
Brill | Fink eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,0,Months,,https://brill.com/page/selfarchiving/sharing-your-work-selfarchiving,,18.06.2025
Brill | Schöningh,Buchbeitrag,04A - Beitrag Sammelband,Accepted,0,Months,,https://brill.com/page/selfarchiving/sharing-your-work-selfarchiving,,02.08.2024
Brill | Schöningh eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,0,Months,,https://brill.com/page/selfarchiving/sharing-your-work-selfarchiving,,18.06.2025
Brill | Wageningen Academic,Buchbeitrag,04A - Beitrag Sammelband,Accepted,0,Months,,https://brill.com/page/selfarchiving/sharing-your-work-selfarchiving,,02.08.2024
Brill Osterreich GmbH,Buchbeitrag,04A - Beitrag Sammelband,Accepted,0,Months,,https://brill.com/page/selfarchiving/sharing-your-work-selfarchiving,,02.08.2024
Brill | mentis,Buchbeitrag,04A - Beitrag Sammelband,Accepted,0,Months,,https://brill.com/page/selfarchiving/sharing-your-work-selfarchiving,,02.08.2024
Brill | mentis eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,0,Months,,https://brill.com/page/selfarchiving/sharing-your-work-selfarchiving,,18.06.2025
E.J. Brill eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,0,Months,,https://brill.com/page/selfarchiving/sharing-your-work-selfarchiving,,18.06.2025
Brill | Sense eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,0,Months,,https://brill.com/page/selfarchiving/sharing-your-work-selfarchiving,,18.06.2025
Vandenhoeck & Ruprecht,Buchbeitrag,04A - Beitrag Sammelband,Accepted,0,Months,,https://www.vr-elibrary.de/self-archiving,,02.08.2024
Vandenhoeck & Ruprecht eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,0,Months,,https://www.vr-elibrary.de/self-archiving,,18.06.2025
Böhlau,Buchbeitrag,04A - Beitrag Sammelband,Accepted,0,Months,,https://www.vr-elibrary.de/self-archiving,,02.08.2024
Böhlau eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,0,Months,,https://www.vr-elibrary.de/self-archiving,,18.06.2025
Böhlau Verlag,Buchbeitrag,04A - Beitrag Sammelband,Accepted,0,Months,,https://www.vr-elibrary.de/self-archiving,,02.08.2024
Boehlau Verlag Ges.m.b.H. & Co. KG,Buchbeitrag,04A - Beitrag Sammelband,Accepted,0,Months,,https://www.vr-elibrary.de/self-archiving,,02.08.2024
IEEE,Konferenz: Paper,04B - Beitrag Konferenzschrift,Accepted,0,Months,,https://www.ieee.org/publications/rights/author-posting-policy.html,Copyright statement and DOI of VoR,02.08.2024
Institute of Electrical and Electronics Engineers (IEEE),Konferenz: Paper,04B - Beitrag Konferenzschrift,Accepted,0,Months,,https://www.ieee.org/publications/rights/author-posting-policy.html,Copyright statement and DOI of VoR,02.08.2024
IEEE Comput. Soc,Konferenz: Paper,04B - Beitrag Konferenzschrift,Accepted,0,Months,,https://www.ieee.org/publications/rights/author-posting-policy.html,Copyright statement and DOI of VoR,02.08.2024
IEEE Comput. Soc. Press,Konferenz: Paper,04B - Beitrag Konferenzschrift,Accepted,0,Months,,https://www.ieee.org/publications/rights/author-posting-policy.html,Copyright statement and DOI of VoR,02.08.2024
IGI Global,Buchbeitrag,04A - Beitrag Sammelband,Published,0,Months,,https://www.igi-global.com/about/rights-permissions/content-reuse/,,02.08.2024
IGI Global eBooks,Buchbeitrag,04A - Beitrag Sammelband,Published,0,Months,,https://www.igi-global.com/about/rights-permissions/content-reuse/,,18.06.2025
IOS Press,Buchbeitrag,04A - Beitrag Sammelband,Accepted,24,Months,,https://www.iospress.com/article-sharing-policy,,02.08.2024
IOS Press eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,24,Months,,https://www.iospress.com/article-sharing-policy,,18.06.2025
Sage,Buchbeitrag,04A - Beitrag Sammelband,Accepted,24,Months,,https://us.sagepub.com/en-us/nam/book-content-oa-archiving-policy,,02.08.2024
Sage eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,24,Months,,https://us.sagepub.com/en-us/nam/book-content-oa-archiving-policy,,18.06.2025
SAGE Open,Buchbeitrag,04A - Beitrag Sammelband,Accepted,24,Months,,https://us.sagepub.com/en-us/nam/book-content-oa-archiving-policy,,18.06.2025
SAGE Publications,Buchbeitrag,04A - Beitrag Sammelband,Accepted,24,Months,,https://us.sagepub.com/en-us/nam/book-content-oa-archiving-policy,,02.08.2024
SAGE Publications eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,24,Months,,https://us.sagepub.com/en-us/nam/book-content-oa-archiving-policy,,18.06.2025
"SAGE Publications, Inc.",Buchbeitrag,04A - Beitrag Sammelband,Accepted,24,Months,,https://us.sagepub.com/en-us/nam/book-content-oa-archiving-policy,,02.08.2024
"SAGE Publications, Inc. eBooks",Buchbeitrag,04A - Beitrag Sammelband,Accepted,24,Months,,https://us.sagepub.com/en-us/nam/book-content-oa-archiving-policy,,18.06.2025
SAGE Publications Ltd,Buchbeitrag,04A - Beitrag Sammelband,Accepted,24,Months,,https://us.sagepub.com/en-us/nam/book-content-oa-archiving-policy,,02.08.2024
SAGE Publications Ltd eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,24,Months,,https://us.sagepub.com/en-us/nam/book-content-oa-archiving-policy,,18.06.2025
"SAGE Publications, Ltd.",Buchbeitrag,04A - Beitrag Sammelband,Accepted,24,Months,,https://us.sagepub.com/en-us/nam/book-content-oa-archiving-policy,,02.08.2024
SAGE Publishing eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,24,Months,,https://us.sagepub.com/en-us/nam/book-content-oa-archiving-policy,,18.06.2025
John Benjamins,Buchbeitrag,04A - Beitrag Sammelband,Accepted,0,Months,,https://benjamins.com/content/authors/rightspolicy,"This manuscript version should include a statement that it is under copyright, and be accompanied by a reference to the published Version of Record, providing information on the book volume in which it appeared, including the DOI and a link to the Version of Record on the publisher’s platform.",02.08.2024
John Benjamins Publishing Company,Buchbeitrag,04A - Beitrag Sammelband,Accepted,0,Months,,https://benjamins.com/content/authors/rightspolicy,"This manuscript version should include a statement that it is under copyright, and be accompanied by a reference to the published Version of Record, providing information on the book volume in which it appeared, including the DOI and a link to the Version of Record on the publisher’s platform.",02.08.2024
John Benjamins Publishing Company eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,0,Months,,https://benjamins.com/content/authors/rightspolicy,"This manuscript version should include a statement that it is under copyright, and be accompanied by a reference to the published Version of Record, providing information on the book volume in which it appeared, including the DOI and a link to the Version of Record on the publisher’s platform.",18.06.2025
Optica,Konferenz: Paper,04B - Beitrag Konferenzschrift,Accepted,12,Months,,https://opg.optica.org/content/author/portal/item/review-copyright-permissions/#posting,"Credit line: © XXXX [year] Optica Publishing Group. One print or electronic copy may be made for personal use only. Systematic reproduction and distribution, duplication of any material in this paper for a fee or for commercial purposes, or modifications of the content of this paper are prohibited.",18.06.2025
Optica Publishing Group,Konferenz: Paper,04B - Beitrag Konferenzschrift,Accepted,12,Months,,https://opg.optica.org/content/author/portal/item/review-copyright-permissions/#posting,"Credit line: © XXXX [year] Optica Publishing Group. One print or electronic copy may be made for personal use only. Systematic reproduction and distribution, duplication of any material in this paper for a fee or for commercial purposes, or modifications of the content of this paper are prohibited.",02.08.2024
The Optical Society,Konferenz: Paper,04B - Beitrag Konferenzschrift,Accepted,12,Months,,https://opg.optica.org/content/author/portal/item/review-copyright-permissions/#posting,"Credit line: © XXXX [year] Optica Publishing Group. One print or electronic copy may be made for personal use only. Systematic reproduction and distribution, duplication of any material in this paper for a fee or for commercial purposes, or modifications of the content of this paper are prohibited.",02.08.2024
Peter Lang,Buchbeitrag,04A - Beitrag Sammelband,Accepted,12,Months,,https://www.peterlang.com/de/repository-policy/,One chapter per book. No textbooks.,02.08.2024
Peter Lang eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,12,Months,,https://www.peterlang.com/de/repository-policy/,One chapter per book. No textbooks.,18.06.2025
Peter Lang Verlag eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,12,Months,,https://www.peterlang.com/de/repository-policy/,One chapter per book. No textbooks.,18.06.2025
Peter Lang D,Buchbeitrag,04A - Beitrag Sammelband,Accepted,12,Months,,https://www.peterlang.com/de/repository-policy/,One chapter per book. No textbooks.,02.08.2024
Peter Lang D eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,12,Months,,https://www.peterlang.com/de/repository-policy/,One chapter per book. No textbooks.,18.06.2025
Peter Lang GmbH eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,12,Months,,https://www.peterlang.com/de/repository-policy/,One chapter per book. No textbooks.,18.06.2025
Peter Lang CH eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,12,Months,,https://www.peterlang.com/de/repository-policy/,One chapter per book. No textbooks.,18.06.2025
Peter Lang AG eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,12,Months,,https://www.peterlang.com/de/repository-policy/,One chapter per book. No textbooks.,18.06.2025
Peter Lang Publishing eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,12,Months,,https://www.peterlang.com/de/repository-policy/,One chapter per book. No textbooks.,18.06.2025
Peter Lang Publishing Group eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,12,Months,,https://www.peterlang.com/de/repository-policy/,One chapter per book. No textbooks.,18.06.2025
Peter Lang Publishing Inc. eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,12,Months,,https://www.peterlang.com/de/repository-policy/,One chapter per book. No textbooks.,18.06.2025
Peter Lang New York,Buchbeitrag,04A - Beitrag Sammelband,Accepted,12,Months,,https://www.peterlang.com/de/repository-policy/,One chapter per book. No textbooks.,18.06.2025
Peter Lang International Academic Publishers eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,12,Months,,https://www.peterlang.com/de/repository-policy/,One chapter per book. No textbooks.,18.06.2025
Routledge,Buchbeitrag,04A - Beitrag Sammelband,Accepted,12,Months,CC BY-NC-ND,https://www.routledge.com/our-products/open-access-books/publishing-oa-books/chapters,"One chapter per author. Credit line: This is an Accepted Manuscript of a book chapter published by Routledge/CRC Press in [BOOK TITLE] on [date of publication], available online: http://www.routledge.com/[BOOK ISBN URL] or http://www.crcpress.com/[BOOK ISBN URL]. 12 months embargo for STEM-fields.",02.08.2024
Routledge eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,18,Months,CC BY-NC-ND,https://www.routledge.com/our-products/open-access-books/publishing-oa-books/chapters,"One chapter per author. Credit line: This is an Accepted Manuscript of a book chapter published by Routledge/CRC Press in [BOOK TITLE] on [date of publication], available online: http://www.routledge.com/[BOOK ISBN URL] or http://www.crcpress.com/[BOOK ISBN URL]. 12 months embargo for STEM-fields.",18.06.2025
"Routledge, Taylor & Francis Group",Buchbeitrag,04A - Beitrag Sammelband,Accepted,18,Months,CC BY-NC-ND,https://www.routledge.com/our-products/open-access-books/publishing-oa-books/chapters,"One chapter per author. Credit line: This is an Accepted Manuscript of a book chapter published by Routledge/CRC Press in [BOOK TITLE] on [date of publication], available online: http://www.routledge.com/[BOOK ISBN URL] or http://www.crcpress.com/[BOOK ISBN URL]. 12 months embargo for STEM-fields.",18.06.2025
Routledge India,Buchbeitrag,04A - Beitrag Sammelband,Accepted,18,Months,CC BY-NC-ND,https://www.routledge.com/our-products/open-access-books/publishing-oa-books/chapters,"One chapter per author. Credit line: This is an Accepted Manuscript of a book chapter published by Routledge/CRC Press in [BOOK TITLE] on [date of publication], available online: http://www.routledge.com/[BOOK ISBN URL] or http://www.crcpress.com/[BOOK ISBN URL]. 12 months embargo for STEM-fields.",02.08.2024
Routledge-Cavendish,Buchbeitrag,04A - Beitrag Sammelband,Accepted,18,Months,CC BY-NC-ND,https://www.routledge.com/our-products/open-access-books/publishing-oa-books/chapters,"One chapter per author. Credit line: This is an Accepted Manuscript of a book chapter published by Routledge/CRC Press in [BOOK TITLE] on [date of publication], available online: http://www.routledge.com/[BOOK ISBN URL] or http://www.crcpress.com/[BOOK ISBN URL]. 12 months embargo for STEM-fields.",02.08.2024
Taylor & Francis,Buchbeitrag,04A - Beitrag Sammelband,Accepted,18,Months,CC BY-NC-ND,https://www.routledge.com/our-products/open-access-books/publishing-oa-books/chapters,"One chapter per author. Credit line: This is an Accepted Manuscript of a book chapter published by Routledge/CRC Press in [BOOK TITLE] on [date of publication], available online: http://www.routledge.com/[BOOK ISBN URL] or http://www.crcpress.com/[BOOK ISBN URL]. 12 months embargo for STEM-fields.",02.08.2024
Taylor & Francis eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,18,Months,CC BY-NC-ND,https://www.routledge.com/our-products/open-access-books/publishing-oa-books/chapters,"One chapter per author. Credit line: This is an Accepted Manuscript of a book chapter published by Routledge/CRC Press in [BOOK TITLE] on [date of publication], available online: http://www.routledge.com/[BOOK ISBN URL] or http://www.crcpress.com/[BOOK ISBN URL]. 12 months embargo for STEM-fields.",18.06.2025
Taylor & Francis Group eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,18,Months,CC BY-NC-ND,https://www.routledge.com/our-products/open-access-books/publishing-oa-books/chapters,"One chapter per author. Credit line: This is an Accepted Manuscript of a book chapter published by Routledge/CRC Press in [BOOK TITLE] on [date of publication], available online: http://www.routledge.com/[BOOK ISBN URL] or http://www.crcpress.com/[BOOK ISBN URL]. 12 months embargo for STEM-fields.",18.06.2025
Taylor & Francis Ltd eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,18,Months,CC BY-NC-ND,https://www.routledge.com/our-products/open-access-books/publishing-oa-books/chapters,"One chapter per author. Credit line: This is an Accepted Manuscript of a book chapter published by Routledge/CRC Press in [BOOK TITLE] on [date of publication], available online: http://www.routledge.com/[BOOK ISBN URL] or http://www.crcpress.com/[BOOK ISBN URL]. 12 months embargo for STEM-fields.",18.06.2025
"Taylor & Francis, Inc. eBooks",Buchbeitrag,04A - Beitrag Sammelband,Accepted,18,Months,CC BY-NC-ND,https://www.routledge.com/our-products/open-access-books/publishing-oa-books/chapters,"One chapter per author. Credit line: This is an Accepted Manuscript of a book chapter published by Routledge/CRC Press in [BOOK TITLE] on [date of publication], available online: http://www.routledge.com/[BOOK ISBN URL] or http://www.crcpress.com/[BOOK ISBN URL]. 12 months embargo for STEM-fields.",18.06.2025
Taylor and Francis,Buchbeitrag,04A - Beitrag Sammelband,Accepted,18,Months,CC BY-NC-ND,https://www.routledge.com/our-products/open-access-books/publishing-oa-books/chapters,"One chapter per author. Credit line: This is an Accepted Manuscript of a book chapter published by Routledge/CRC Press in [BOOK TITLE] on [date of publication], available online: http://www.routledge.com/[BOOK ISBN URL] or http://www.crcpress.com/[BOOK ISBN URL]. 12 months embargo for STEM-fields.",18.06.2025
Taylor and Francis eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,18,Months,CC BY-NC-ND,https://www.routledge.com/our-products/open-access-books/publishing-oa-books/chapters,"One chapter per author. Credit line: This is an Accepted Manuscript of a book chapter published by Routledge/CRC Press in [BOOK TITLE] on [date of publication], available online: http://www.routledge.com/[BOOK ISBN URL] or http://www.crcpress.com/[BOOK ISBN URL]. 12 months embargo for STEM-fields.",18.06.2025
SPIE,Konferenz: Paper,04B - Beitrag Konferenzschrift,Published,0,Months,,https://www.spiedigitallibrary.org/article-sharing-policies,"Copyright XXXX (year) Society of Photo‑Optical Instrumentation Engineers (SPIE). One print or electronic copy may be made for personal use only. Systematic reproduction and distribution, duplication of any material in this publication for a fee or for commercial purposes, and modification of the contents of the publication are prohibited.",02.08.2024
SPIE-Intl Soc Optical Eng,Konferenz: Paper,04B - Beitrag Konferenzschrift,Published,0,Months,,https://www.spiedigitallibrary.org/article-sharing-policies,"Copyright XXXX (year) Society of Photo‑Optical Instrumentation Engineers (SPIE). One print or electronic copy may be made for personal use only. Systematic reproduction and distribution, duplication of any material in this publication for a fee or for commercial purposes, and modification of the contents of the publication are prohibited.",02.08.2024
transcript,Buchbeitrag,04A - Beitrag Sammelband,Published,12,Months,,https://www.transcript-verlag.de/selbstarchivierungsrechte-repository-policy,"Credit line: Name, Vorname: Kapitel, in: Vorname Name (Hg.), Titel der Aufsatzsammlung, Seitenangabe. © transcript Verlag (Erscheinungsjahr) und Verlinkung der Fassung beim Verlag.",02.08.2024
transcript Verlag,Buchbeitrag,04A - Beitrag Sammelband,Published,12,Months,,https://www.transcript-verlag.de/selbstarchivierungsrechte-repository-policy,"Credit line: Name, Vorname: Kapitel, in: Vorname Name (Hg.), Titel der Aufsatzsammlung, Seitenangabe. © transcript Verlag (Erscheinungsjahr) und Verlinkung der Fassung beim Verlag.",02.08.2024
transcript Verlag eBooks,Buchbeitrag,04A - Beitrag Sammelband,Published,12,Months,,https://www.transcript-verlag.de/selbstarchivierungsrechte-repository-policy,"Credit line: Name, Vorname: Kapitel, in: Vorname Name (Hg.), Titel der Aufsatzsammlung, Seitenangabe. © transcript Verlag (Erscheinungsjahr) und Verlinkung der Fassung beim Verlag.",18.06.2025
Bloomsbury,Buchbeitrag,04A - Beitrag Sammelband,Published,6,Months,,https://www.bloomsbury.com/uk/discover/bloomsbury-academic/open-access/self-archiving-policy/,One chapter per book. Ahead of archiving your chapter please ensure that you have completed and returned this form to claire.weatherhead@bloomsbury.com.,02.08.2024
Bloomsbury eBooks,Buchbeitrag,04A - Beitrag Sammelband,Published,6,Months,,https://www.bloomsbury.com/uk/discover/bloomsbury-academic/open-access/self-archiving-policy/,One chapter per book. Ahead of archiving your chapter please ensure that you have completed and returned this form to claire.weatherhead@bloomsbury.com.,18.06.2025
Bloomsbury Publishing,Buchbeitrag,04A - Beitrag Sammelband,Published,6,Months,,https://www.bloomsbury.com/uk/discover/bloomsbury-academic/open-access/self-archiving-policy/,One chapter per book. Ahead of archiving your chapter please ensure that you have completed and returned this form to claire.weatherhead@bloomsbury.com.,02.08.2024
Bloomsbury Publishing eBooks,Buchbeitrag,04A - Beitrag Sammelband,Published,6,Months,,https://www.bloomsbury.com/uk/discover/bloomsbury-academic/open-access/self-archiving-policy/,One chapter per book. Ahead of archiving your chapter please ensure that you have completed and returned this form to claire.weatherhead@bloomsbury.com.,18.06.2025
Bloomsbury Publishing Inc,Buchbeitrag,04A - Beitrag Sammelband,Published,6,Months,,https://www.bloomsbury.com/uk/discover/bloomsbury-academic/open-access/self-archiving-policy/,One chapter per book. Ahead of archiving your chapter please ensure that you have completed and returned this form to claire.weatherhead@bloomsbury.com.,02.08.2024
Bloomsbury Publishing Plc,Buchbeitrag,04A - Beitrag Sammelband,Published,6,Months,,https://www.bloomsbury.com/uk/discover/bloomsbury-academic/open-access/self-archiving-policy/,One chapter per book. Ahead of archiving your chapter please ensure that you have completed and returned this form to claire.weatherhead@bloomsbury.com.,02.08.2024
Bloomsbury Publishing Plc eBooks,Buchbeitrag,04A - Beitrag Sammelband,Published,6,Months,,https://www.bloomsbury.com/uk/discover/bloomsbury-academic/open-access/self-archiving-policy/,One chapter per book. Ahead of archiving your chapter please ensure that you have completed and returned this form to claire.weatherhead@bloomsbury.com.,18.06.2025
Bloomsbury Academic,Buchbeitrag,04A - Beitrag Sammelband,Published,6,Months,,https://www.bloomsbury.com/uk/discover/bloomsbury-academic/open-access/self-archiving-policy/,One chapter per book. Ahead of archiving your chapter please ensure that you have completed and returned this form to claire.weatherhead@bloomsbury.com.,02.08.2024
Bloomsbury Academic eBooks,Buchbeitrag,04A - Beitrag Sammelband,Published,6,Months,,https://www.bloomsbury.com/uk/discover/bloomsbury-academic/open-access/self-archiving-policy/,One chapter per book. Ahead of archiving your chapter please ensure that you have completed and returned this form to claire.weatherhead@bloomsbury.com.,18.06.2025
Cambridge University Press,Buchbeitrag,04A - Beitrag Sammelband,Accepted,6,Months,,https://www.cambridge.org/core/services/open-access-policies/open-access-books/green-open-access-policy-for-books,"One chapter per author. Credit line: This material has been accepted for publication by Cambridge University Press, and a revised form will be published in [Title] by/edited by [Author / Editor] [http://doi.org/XXX, if available]. This version is free to view and download for private research and study only. Not for re-distribution or re-use. © copyright holder.",02.08.2024
Cambridge University Press eBooks,Buchbeitrag,04A - Beitrag Sammelband,Accepted,6,Months,,https://www.cambridge.org/core/services/open-access-policies/open-access-books/green-open-access-policy-for-books,"One chapter per author. Credit line: This material has been accepted for publication by Cambridge University Press, and a revised form will be published in [Title] by/edited by [Author / Editor] [http://doi.org/XXX, if available]. This version is free to view and download for private research and study only. Not for re-distribution or re-use. © copyright holder.",18.06.2025
